302	81	50
24	161	21
153	161	29
696	161	62
175	241	62
8	401	27
708	481	45
493	561	24
647	561	54
645	801	43
47	961	62
741	961	22
455	1041	55
681	1041	72
491	1121	41
152	1201	80
254	1281	71
58	1361	77
89	1361	53
457	1601	75
9	1681	36
1	1841	26
371	1921	80
278	2081	33
687	2081	74
799	2081	56
59	2161	44
136	2401	29
571	2401	39
288	2481	44
601	2481	40
392	2561	80
250	2641	80
535	2641	49
398	2721	56
59	2801	79
352	2961	45
652	2961	66
4	3041	72
769	3041	60
275	3121	33
687	3201	45
146	3281	75
795	3361	74
24	3441	61
188	3601	76
267	3601	69
410	3601	76
529	3681	48
42	3841	31
176	3921	28
63	4081	21
87	4161	34
285	4241	67
362	4241	78
33	4481	39
78	4721	64
527	4721	26
176	4801	28
798	4801	77
341	4881	24
675	5121	69
43	5201	26
228	5201	55
697	5441	24
791	5521	41
134	5601	79
605	5601	24
321	5681	79
605	5681	59
769	5921	24
147	6081	58
265	6161	47
334	6161	55
503	6401	66
742	6401	23
401	6481	80
600	6481	54
268	6641	73
493	6641	24
649	6721	72
493	6801	53
637	6961	50
452	7201	60
481	7281	63
150	7601	54
623	7601	70
578	7681	75
770	7681	36
467	7761	77
749	7761	79
533	7841	59
324	7921	46
513	7921	26
581	8001	68
607	8241	72
14	8321	24
23	8401	60
316	8401	49
641	8401	38
462	8481	26
551	8481	57
773	8481	51
434	8721	57
773	8721	71
465	8801	32
325	8881	34
32	9201	67
301	9361	26
359	9361	21
215	9441	67
340	9521	57
706	9521	78
432	9761	64
10	9841	67
7	9921	22
703	9921	55
689	10001	78
313	10081	59
203	10241	24
717	10241	42
430	10401	73
403	10481	66
752	10481	74
374	10561	41
525	10641	27
761	10641	71
353	10721	28
402	10801	41
189	10881	37
793	10961	65
24	11041	39
303	11041	68
404	11041	79
136	11121	20
167	11121	72
467	11121	34
155	11281	20
476	11361	28
299	11441	31
543	11521	47
671	11601	32
189	11761	55
261	11841	21
50	11921	32
607	11921	60
504	12001	33
762	12001	78
223	12081	46
366	12081	59
427	12401	26
569	12401	37
113	12481	77
40	12561	66
568	12641	20
715	12641	70
71	12801	66
241	12961	64
545	13041	64
581	13281	36
203	13361	46
302	13361	61
51	13441	46
614	13441	66
508	13521	54
313	13761	78
553	13761	38
650	13761	61
224	13921	67
344	14001	27
397	14081	45
553	14241	54
106	14321	25
337	14321	39
90	14401	22
455	14401	23
71	14561	78
297	14641	47
411	14641	23
747	14641	76
35	14721	40
663	14721	78
118	14801	68
404	15121	67
648	15121	31
580	15201	30
369	15441	32
439	15521	72
799	15521	34
346	15601	34
754	15681	78
98	15841	53
560	15841	56
684	15841	23
92	16001	23
110	16081	56
437	16241	66
644	16241	37
777	16401	47
